"id","genre","artist_name","energy","mood_vec","track_name","valence"
"1QSDvOFGf8S9Jp1vPgJdFK","reggae","Kabaka Pyramid","0.794","[{""N"":""0.523""},{""N"":""0.794""}]","Liberal Opposer","0.523"
"3k0Jp5IYHtBeSNKUEOqE0i","funk","Zapp","0.667","[{""N"":""0.91""},{""N"":""0.667""}]","""So Ruff, so Tuff""","0.91"
"3eEAv6q0YiHwSXZakEgvoG","hard-rock","Blue Öyster Cult","0.887","[{""N"":""0.442""},{""N"":""0.887""}]","(Don't Fear)The Reaper","0.442"
"6Pb0WHqmmTL308Z2uQrNP1","funk","Commodores","0.866","[{""N"":""0.944""},{""N"":""0.866""}]","Slippery When Wet","0.944"
"27eKJ4RlK36novSUJQXlVH","new-release","Imagine Dragons","0.449","[{""N"":""0.147""},{""N"":""0.449""}]","I Was Me","0.147"
"6w4rP7QLKZLsm3OrjlRRy5","j-pop","The Hotpantz","0.883","[{""N"":""0.501""},{""N"":""0.883""}]","Nowhereland [type A]","0.501"
"1OWYw9x5rS9YeqFHigsJp1","comedy","John Mulaney","0.867","[{""N"":""0.448""},{""N"":""0.867""}]","The Salt and Pepper Diner","0.448"
"2l7JL1Fr7QzBXrz7BLwyy4","malay","Amy Mastura","0.789","[{""N"":""0.946""},{""N"":""0.789""}]","Sha Na Na","0.946"
"0U4NRZT9CAMNsjHtPLc1lI","british","Snow Patrol","0.811","[{""N"":""0.472""},{""N"":""0.811""}]","Chocolate - Revised Album Version","0.472"
"6BcuE0BTQWz3JTQbrFKy1K","industrial","Code 64","0.964","[{""N"":""0.592""},{""N"":""0.964""}]","Deviant","0.592"
"3ZupiEZdTEA0m62uzvgfpy","swedish","kent","0.643","[{""N"":""0.276""},{""N"":""0.643""}]","Den döda vinkeln","0.276"
"3fq2Mnn7USvWSGwALCzsFV","swedish","Håkan Hellström","0.954","[{""N"":""0.541""},{""N"":""0.954""}]","För en lång lång tid","0.541"
"4nwRQjImghqrKdaYnkZbeF","sertanejo","João Bosco & Vinicius","0.788","[{""N"":""0.651""},{""N"":""0.788""}]","Quem da as cartas sou eu","0.651"
"138mmzTAVhqr0SpTGBkrCq","grindcore","Napalm Death","0.993","[{""N"":""0.124""},{""N"":""0.993""}]","Time Waits For No Slave","0.124"
"26E1JSa1rmqadkaMgxeTDN","death-metal","Nile","0.919","[{""N"":""0.126""},{""N"":""0.919""}]","What Can Be Safely Written","0.126"
"0oMEmbD4ixaSs1pbrEg8sB","deep-house","Claptone","0.483","[{""N"":""0.57""},{""N"":""0.483""}]","No Eyes (feat. Jaw) - Radio Edit","0.57"
"4NMmKltYKWIp53sgcHMcW6","german","Ich + Ich","0.856","[{""N"":""0.396""},{""N"":""0.856""}]","So soll es bleiben - Single Edit","0.396"
"3djsPBRuvxHhHp1DXSxhwh","power-pop","Pernice Brothers","0.585","[{""N"":""0.16""},{""N"":""0.585""}]","Baby in Two","0.16"
"65m2NnIEcZj3PgXqgWqkAu","songwriter","Josh Ritter","0.647","[{""N"":""0.422""},{""N"":""0.647""}]","Hopeful","0.422"
